,AMZN,TSLA,TWTR
2005,34720873.07692308,,
2006,34444271.15384615,,
2007,46371627.942307696,,
2008,48155048.07692308,,
2009,40881994.33962264,,
2010,35326663.461538464,6002196.153846154,
2011,28076511.53846154,6254521.153846154,
2012,20124713.46153846,5901040.384615385,
2013,14362328.846153846,40588671.15384615,88076642.85714285
2014,19736463.192307692,33514914.28846154,113118116.46153846
2015,18192562.11320755,20657085.79245283,101972691.1509434
2016,19976055.115384616,22350159.557692308,124461400.8076923
2017,16703184.461538462,30263102.615384616,84325143.73076923
2018,26969993.423076924,41346899.115384616,137115674.3653846
2019,18815052.326923076,44065117.615384616,74649662.01923077
2020,23654559.056603774,142705568.0,93925823.16981132
2021,16799724.61764706,139414946.32352942,85705494.94117647
